ModelName|Postion.X|Postion.Y|Postion.Z|Rotation.W|Rotation.X|Rotation.Y|Rotation.Z|Movability|
ProductWithAN015652|7.286417|4.902941|0.325|0.707107|0|0|0.707107|2|
ProductWithAN015652|7.286417|4.760941|0.325|0.707107|0|0|0.707107|2|
ProductWithAN010055|7.286417|4.618941|0.3025|0.707107|0|0|0.707107|2|
ProductWithAN010055|7.286417|4.428941|0.3025|0.707107|0|0|0.707107|2|
ProductWithAN004728|7.286417|4.902941|0.707|0.707107|0|0|0.707107|2|
ProductWithAN004728|7.286417|4.712941|0.707|0.707107|0|0|0.707107|2|
ProductWithAN004728|7.286417|4.522941|0.707|0.707107|0|0|0.707107|2|
ProductWithAN554301|7.286417|4.332941|0.705|0.707107|0|0|0.707107|2|
ProductWithAN554301|7.286417|4.200941|0.705|0.707107|0|0|0.707107|2|
ProductWithAN404491|7.286417|4.902941|1.035|0.707107|0|0|0.707107|2|
ProductWithAN404491|7.286417|4.770941|1.035|0.707107|0|0|0.707107|2|
ProductWithAN293875|7.286417|4.638941|1.035|0.707107|0|0|0.707107|2|
ProductWithAN293875|7.286417|4.506941|1.035|0.707107|0|0|0.707107|2|
ProductWithAN293875|7.286417|4.374941|1.035|0.707107|0|0|0.707107|2|
ProductWithAN293875|7.286417|4.242941|1.035|0.707107|0|0|0.707107|2|
ProductWithAN046088|7.286417|4.902941|1.295|0.707107|0|0|0.707107|2|
ProductWithAN046088|7.286417|4.792941|1.295|0.707107|0|0|0.707107|2|
ProductWithAN046088|7.286417|4.682941|1.295|0.707107|0|0|0.707107|2|
ProductWithAN046088|7.286417|4.572941|1.295|0.707107|0|0|0.707107|2|
ProductWithAN046088|7.286417|4.462941|1.295|0.707107|0|0|0.707107|2|
ProductWithAN295813|7.286417|4.902941|1.566|0.707107|0|0|0.707107|2|
ProductWithAN295813|7.286417|4.812941|1.566|0.707107|0|0|0.707107|2|
ProductWithAN295813|7.286417|4.722941|1.566|0.707107|0|0|0.707107|2|
ProductWithAN295813|7.286417|4.632941|1.566|0.707107|0|0|0.707107|2|
