ModelName|Postion.X|Postion.Y|Postion.Z|Rotation.W|Rotation.X|Rotation.Y|Rotation.Z|Movability|
ShelfSystemH160T6L10G|4.889639|3.06039|0.8|0|0|0|-1|2|
ShelfLayer5TilesL10_Bottom|4.889639|3.394502|0.133192|0|0|0|1|2|
ShelfLayer4TilesL10|4.889639|3.319924|0.355|0|0|0|1|2|
ShelfLayer4TilesL10|4.889639|3.319899|0.607|0|0|0|1|2|
ShelfLayer4TilesL10|4.889639|3.319871|0.859|0|0|0|1|2|
ShelfLayer4TilesL10|4.889639|3.319847|1.153|0|0|0|1|2|
ShelfLayer4TilesL10|4.889639|3.319825|1.405|0|0|0|1|2|
ShelfSystemH160T6L10G|3.88164|3.06039|0.8|0|0|0|-1|2|
ShelfLayer5TilesL10_Bottom|3.88164|3.394502|0.133192|0|0|0|1|2|
ShelfLayer4TilesL10|3.88164|3.319924|0.397|0|0|0|1|2|
ShelfLayer4TilesL10|3.88164|3.319899|0.649|0|0|0|1|2|
ShelfLayer4TilesL10|3.88164|3.319871|0.901|0|0|0|1|2|
ShelfLayer4TilesL10|3.88164|3.319847|1.153|0|0|0|1|2|
ShelfLayer4TilesL10|3.88164|3.319825|1.405|0|0|0|1|2|
ShelfSystemH160T6L10G|2.873769|3.06039|0.8|0|0|0|-1|2|
ShelfLayer5TilesL10_Bottom|2.873769|3.394503|0.133192|0|0|0|1|2|
ShelfLayer4TilesL10|2.873769|3.319924|0.397|0|0|0|1|2|
ShelfLayer4TilesL10|2.873769|3.3199|0.649|0|0|0|1|2|
ShelfLayer4TilesL10|2.873769|3.319872|0.901|0|0|0|1|2|
ShelfLayer4TilesL10|2.873769|3.319848|1.153|0|0|0|1|2|
ShelfLayer4TilesL10|2.873769|3.319826|1.405|0|0|0|1|2|
ShelfSystemH200T6L12W|0.3714|3.761528|1|0.707107|0|0|0.707107|2|
ShelfLayer6TilesL12_Bottom|0.452947|3.761528|0.121343|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL12|0.368996|3.761528|0.431|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL12|0.368998|3.761528|0.724|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL12|0.368998|3.761528|1.014|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL12|0.368998|3.761528|1.266|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL12|0.368998|3.761528|1.56|0.707107|0|0|0.707107|2|
ShelfSystemH200T6L10W|0.37134|2.639174|1|0.707107|0|0|0.707107|2|
ShelfLayer6TilesL10_Bottom|0.456289|2.639174|0.12468|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL10|0.370874|2.639174|0.284|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL10|0.370874|2.639174|0.578|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL10|0.370875|2.639175|0.872|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL10|0.370875|2.639175|1.124|0.707107|0|0|0.707107|2|
ShelfLayer5TilesL10|0.370875|2.639175|1.334|0.707107|0|0|0.707107|2|
ShelfSystemH200T7L10W|0.430019|1.632122|1|0.707107|0|0|0.707107|2|
ShelfLayer7TilesL10_Bottom|0.527084|1.632121|0.166942|0.707107|0|0|0.707107|2|
ShelfLayer6TilesL10|0.436807|1.632121|0.41|0.707107|0|0|0.707107|2|
ShelfLayer6TilesL10|0.436807|1.632121|0.746|0.707107|0|0|0.707107|2|
ShelfLayer6TilesL10|0.436807|1.632121|1.082|0.707107|0|0|0.707107|2|
